hour,min_voltage_pu,voltage_violations,max_line_loading_pct,line_overloads,losses_mw,pcc_mva,transformer_overload,policy,scenario
0,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
1,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
2,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
3,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
4,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
5,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
6,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
7,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
8,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
9,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
10,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
11,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
12,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
13,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
14,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
15,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
16,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
17,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
18,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
19,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
20,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
21,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
22,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
23,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,No-EV reference,0
0,0.9527530248678456,0,28.35094641583024,0,0.05849162966534017,2.4866913613337593,0,Flat 0.30,0
1,0.9537776363768752,0,28.20350993479139,0,0.05748656454729001,2.473759552309044,0,Flat 0.30,0
2,0.9521960028567358,0,28.431216856602585,0,0.05905048579190516,2.4937319662317985,0,Flat 0.30,0
3,0.9519374659056375,0,28.468501475220332,0,0.05931285243844509,2.497002239397494,0,Flat 0.30,0
4,0.9536681559567114,0,28.219250078149987,0,0.05759253798825309,2.4751401368594226,0,Flat 0.30,0
5,0.9538709127909691,0,28.19010204088376,0,0.05739654400991181,2.472583531814199,0,Flat 0.30,0
6,0.9531839520727716,0,28.288903688921774,0,0.05806530240246724,2.481249528415707,0,Flat 0.30,0
7,0.9538282828008516,0,28.196229537335928,0,0.05743765537741993,2.4731209809810113,0,Flat 0.30,0
8,0.9534870688167039,0,28.24529236567741,0,0.05776856969477954,2.4774243333245076,0,Flat 0.30,0
9,0.9486642935970329,2,28.942014941446658,0,0.0627973454746221,2.538534604236768,0,Flat 0.30,0
10,0.9385611296882246,6,30.419148098361426,0,0.07543892796386176,2.66809550965014,0,Flat 0.30,0
11,0.9249777905656799,10,32.43512409033326,0,0.09684488287668122,2.8449188908607077,0,Flat 0.30,0
12,0.9154559693820055,12,33.8638941215851,0,0.11479975088776304,2.970237823625113,0,Flat 0.30,0
13,0.9137419901508105,12,34.12217267789968,0,0.11828571012718833,2.992891710370818,0,Flat 0.30,0
14,0.9137419901508105,12,34.12217267789968,0,0.11828571012718833,2.992891710370818,0,Flat 0.30,0
15,0.9137419901508105,12,34.12217267789968,0,0.11828571012718833,2.992891710370818,0,Flat 0.30,0
16,0.9269561688557391,9,32.1397158702922,0,0.09341702245949096,2.819008323801639,0,Flat 0.30,0
17,0.9253515339189198,10,32.37927570787129,0,0.09618928159424835,2.840020370219098,0,Flat 0.30,0
18,0.9174070530294794,12,33.570264265507205,0,0.11092540213663313,2.944483237250337,0,Flat 0.30,0
19,0.9200564721720017,12,33.1722203744705,0,0.10582495654346324,2.909570385679339,0,Flat 0.30,0
20,0.9300027636962044,7,31.685909424174458,0,0.088343929132706,2.779204481341023,0,Flat 0.30,0
21,0.9434032483865261,5,29.708465438039088,0,0.06902673980467139,2.6057607846636808,0,Flat 0.30,0
22,0.9484582354143805,2,28.97191332156786,0,0.06302678014481362,2.541157022648758,0,Flat 0.30,0
23,0.9525249084737747,0,28.383809517471096,0,0.058719436932504664,2.4895738185887137,0,Flat 0.30,0
0,0.9525837228608517,0,28.375335226191943,0,0.05866056149884125,2.4888305295759547,0,TOU rule,0
1,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,TOU rule,0
2,0.9519742055436964,0,28.463202041713632,0,0.059275453533320935,2.4965374205038606,0,TOU rule,0
3,0.9518860552880626,0,28.475917686245467,0,0.059365249551018205,2.4976527230773633,0,TOU rule,0
4,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,TOU rule,0
5,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,TOU rule,0
6,0.9530868069759721,0,28.30288580661393,0,0.05816095182645423,2.4824759146837763,0,TOU rule,0
7,0.9539157880119341,0,28.183652358789846,0,0.05735332304233429,2.4720178234053174,0,TOU rule,0
8,0.9535923281842054,0,28.230153847824457,0,0.057666135824431246,2.476096517980894,0,TOU rule,0
9,0.9497657127547126,1,28.782378283778375,0,0.06159117846479605,2.524532704854098,0,TOU rule,0
10,0.9413483485978797,6,30.009484090235862,0,0.07166886341627646,2.63216344779983,0,TOU rule,0
11,0.92940961368971,7,31.774153110901963,0,0.08931201986180318,2.7869444282320153,0,TOU rule,0
12,0.9197903083342442,12,33.21217140764368,0,0.10632897067825295,2.913074533113589,0,TOU rule,0
13,0.9137419901508105,12,34.12217267789968,0,0.11828571012718833,2.992891710370818,0,TOU rule,0
14,0.9137419901508105,12,34.12217267789968,0,0.11828571012718833,2.992891710370818,0,TOU rule,0
15,0.9164886063183514,12,33.708435227368696,0,0.11273673156758482,2.956602358933458,0,TOU rule,0
16,0.9253427119697615,10,32.380593749282404,0,0.09620471353992815,2.840135977023782,0,TOU rule,0
17,0.9245870458080465,11,32.49353330733486,0,0.09753430084403303,2.850042025014133,0,TOU rule,0
18,0.918788997599135,12,33.362542366647,0,0.10824186320382993,2.9262637292516005,0,TOU rule,0
19,0.9137419901508105,12,34.12217267789968,0,0.11828571012718833,2.992891710370818,0,TOU rule,0
20,0.9176065395074041,12,33.540265879492075,0,0.11053491771556921,2.941852046993617,0,TOU rule,0
21,0.9453942264957054,4,29.417673154522678,0,0.0665785422310169,2.580255087135721,0,TOU rule,0
22,0.9493091366223079,2,28.848517007382195,0,0.062087043190373746,2.530333801961464,0,TOU rule,0
23,0.9531643912863119,0,28.29171887379276,0,0.05808454055115544,2.481496451245486,0,TOU rule,0
0,0.9527530248678456,0,28.35094641583024,0,0.05849162966534017,2.4866913613337593,0,Best constant,0
1,0.9537776363768752,0,28.20350993479139,0,0.05748656454729001,2.473759552309044,0,Best constant,0
2,0.9521960028567358,0,28.431216856602585,0,0.05905048579190516,2.4937319662317985,0,Best constant,0
3,0.9519374659056375,0,28.468501475220332,0,0.05931285243844509,2.497002239397494,0,Best constant,0
4,0.9536681559567114,0,28.219250078149987,0,0.05759253798825309,2.4751401368594226,0,Best constant,0
5,0.9538709127909691,0,28.19010204088376,0,0.05739654400991181,2.472583531814199,0,Best constant,0
6,0.9531839520727716,0,28.288903688921774,0,0.05806530240246724,2.481249528415707,0,Best constant,0
7,0.9538282828008516,0,28.196229537335928,0,0.05743765537741993,2.4731209809810113,0,Best constant,0
8,0.9534870688167039,0,28.24529236567741,0,0.05776856969477954,2.4774243333245076,0,Best constant,0
9,0.9486642935970329,2,28.942014941446658,0,0.0627973454746221,2.538534604236768,0,Best constant,0
10,0.9385611296882246,6,30.419148098361426,0,0.07543892796386176,2.66809550965014,0,Best constant,0
11,0.9249777905656799,10,32.43512409033326,0,0.09684488287668122,2.8449188908607077,0,Best constant,0
12,0.9154559693820055,12,33.8638941215851,0,0.11479975088776304,2.970237823625113,0,Best constant,0
13,0.9137419901508105,12,34.12217267789968,0,0.11828571012718833,2.992891710370818,0,Best constant,0
14,0.9137419901508105,12,34.12217267789968,0,0.11828571012718833,2.992891710370818,0,Best constant,0
15,0.9137419901508105,12,34.12217267789968,0,0.11828571012718833,2.992891710370818,0,Best constant,0
16,0.9269561688557391,9,32.1397158702922,0,0.09341702245949096,2.819008323801639,0,Best constant,0
17,0.9253515339189198,10,32.37927570787129,0,0.09618928159424835,2.840020370219098,0,Best constant,0
18,0.9174070530294794,12,33.570264265507205,0,0.11092540213663313,2.944483237250337,0,Best constant,0
19,0.9200564721720017,12,33.1722203744705,0,0.10582495654346324,2.909570385679339,0,Best constant,0
20,0.9300027636962044,7,31.685909424174458,0,0.088343929132706,2.779204481341023,0,Best constant,0
21,0.9434032483865261,5,29.708465438039088,0,0.06902673980467139,2.6057607846636808,0,Best constant,0
22,0.9484582354143805,2,28.97191332156786,0,0.06302678014481362,2.541157022648758,0,Best constant,0
23,0.9525249084737747,0,28.383809517471096,0,0.058719436932504664,2.4895738185887137,0,Best constant,0
0,0.953004973929286,0,28.3146660229714,0,0.058241732174724066,2.483509169866486,0,Tabular Q-learning,0
1,0.9536852573628815,0,28.2167911715314,0,0.057575962009730274,2.474924463569915,0,Tabular Q-learning,0
2,0.9524841871565961,0,28.389677399585988,0,0.05876025779825741,2.490088496708044,0,Tabular Q-learning,0
3,0.9521441266261644,0,28.438696723184542,0,0.05910297908845792,2.494388033207048,0,Tabular Q-learning,0
4,0.9533919969748244,0,28.258968282164894,0,0.05786135919894868,2.4786238623627703,0,Tabular Q-learning,0
5,0.9536795555850057,0,28.217610986457835,0,0.05758148768407385,2.4749963704013207,0,Tabular Q-learning,0
6,0.9532420988214761,0,28.280535827216706,0,0.05800817867627208,2.4805155744532668,0,Tabular Q-learning,0
7,0.9537241412149265,0,28.21120059643068,0,0.05753830367283057,2.474434108341145,0,Tabular Q-learning,0
8,0.9533738122368391,0,28.261584403103335,0,0.05787913654510776,2.4788533250847506,0,Tabular Q-learning,0
9,0.9486434835008131,2,28.945033953205,0,0.0628204623507072,2.538799404938526,0,Tabular Q-learning,0
10,0.9385572465209128,6,30.419719902057224,0,0.07544432960118047,2.668145663154754,0,Tabular Q-learning,0
11,0.9249770581107031,10,32.43523355962944,0,0.09684617137934695,2.8449284925283767,0,Tabular Q-learning,0
12,0.9245758414909023,11,32.49520845274503,0,0.09755412957383039,2.8501889537885496,0,Tabular Q-learning,0
13,0.9137419901508105,12,34.12217267789968,0,0.11828571012718833,2.992891710370818,0,Tabular Q-learning,0
14,0.920604485947834,12,33.08999056635363,0,0.10479313335987184,2.902357922133654,0,Tabular Q-learning,0
15,0.9149071316761547,12,33.94656515571913,0,0.1159076205381669,2.977488987872213,0,Tabular Q-learning,0
16,0.9137419901508105,12,34.12217267789968,0,0.11828571012718833,2.992891710370818,0,Tabular Q-learning,0
17,0.9222410173878232,12,32.844646934686956,0,0.10175922382836619,2.8808385725424683,0,Tabular Q-learning,0
18,0.9168318578403317,12,33.6567856945645,0,0.11205718455862185,2.952072123593002,0,Tabular Q-learning,0
19,0.9199531043648563,12,33.18773481825505,0,0.10602047351450386,2.91093117397482,0,Tabular Q-learning,0
20,0.9299845725775376,7,31.688614935591502,0,0.0883734780038643,2.7794417846030535,0,Tabular Q-learning,0
21,0.9434000768188032,5,29.708929349539236,0,0.06903072756140649,2.60580147483061,0,Tabular Q-learning,0
22,0.948457668762171,2,28.97199555512657,0,0.06302741272265423,2.5411642354407493,0,Tabular Q-learning,0
23,0.9525248069367451,0,28.38382414825557,0,0.058719538659461654,2.4895751018708414,0,Tabular Q-learning,0
